run,fa_threshold,turning_angle,track_voxel_ratio,output
1,0.225,56,1.86,tractografias\run_01.tt.gz
2,0.165,50,1.43,tractografias\run_02.tt.gz
3,0.18,52,1.51,tractografias\run_03.tt.gz
4,0.157,63,1.48,tractografias\run_04.tt.gz
5,0.214,49,2.1,tractografias\run_05.tt.gz
6,0.185,52,1.67,tractografias\run_06.tt.gz
7,0.21,50,1.23,tractografias\run_07.tt.gz
8,0.174,57,1.23,tractografias\run_08.tt.gz
9,0.235,58,1.94,tractografias\run_09.tt.gz
10,0.144,59,1.75,tractografias\run_10.tt.gz
11,0.176,47,1.84,tractografias\run_11.tt.gz
12,0.161,59,2.08,tractografias\run_12.tt.gz
13,0.168,58,1.99,tractografias\run_13.tt.gz
14,0.193,46,1.63,tractografias\run_14.tt.gz
15,0.203,53,1.96,tractografias\run_15.tt.gz
16,0.218,60,1.38,tractografias\run_16.tt.gz
17,0.209,44,1.26,tractografias\run_17.tt.gz
18,0.122,42,1.27,tractografias\run_18.tt.gz
19,0.172,45,1.53,tractografias\run_19.tt.gz
20,0.164,55,1.3,tractografias\run_20.tt.gz
21,0.128,59,1.72,tractografias\run_21.tt.gz
22,0.12,57,1.55,tractografias\run_22.tt.gz
23,0.198,62,1.94,tractografias\run_23.tt.gz
24,0.229,43,1.43,tractografias\run_24.tt.gz
25,0.132,50,1.29,tractografias\run_25.tt.gz
26,0.183,54,1.91,tractografias\run_26.tt.gz
27,0.14,44,1.33,tractografias\run_27.tt.gz
28,0.141,62,1.37,tractografias\run_28.tt.gz
29,0.177,43,1.78,tractografias\run_29.tt.gz
30,0.195,48,1.41,tractografias\run_30.tt.gz
31,0.147,48,1.82,tractografias\run_31.tt.gz
32,0.221,56,1.87,tractografias\run_32.tt.gz
33,0.138,53,1.98,tractografias\run_33.tt.gz
34,0.149,46,1.7,tractografias\run_34.tt.gz
35,0.153,52,1.35,tractografias\run_35.tt.gz
36,0.189,55,2.1,tractografias\run_36.tt.gz
37,0.117,47,1.46,tractografias\run_37.tt.gz
38,0.13,51,2.06,tractografias\run_38.tt.gz
39,0.125,64,2.04,tractografias\run_39.tt.gz
40,0.15,45,1.8,tractografias\run_40.tt.gz
41,0.238,61,1.6,tractografias\run_41.tt.gz
42,0.189,66,1.56,tractografias\run_42.tt.gz
43,0.134,64,1.65,tractografias\run_43.tt.gz
44,0.206,54,1.59,tractografias\run_44.tt.gz
45,0.233,63,1.48,tractografias\run_45.tt.gz
46,0.213,63,1.63,tractografias\run_46.tt.gz
47,0.228,48,1.77,tractografias\run_47.tt.gz
48,0.158,65,1.89,tractografias\run_48.tt.gz
49,0.219,65,2.01,tractografias\run_49.tt.gz
50,0.201,60,1.72,tractografias\run_50.tt.gz
